denseSift: True, num_features: 400, k: 500, num_neighbors: 5, knn_metric: manhattan, step: 10, pyramidDepth: 0, validation_split_num: 1, normalization: True, norm: power, alpha: 0.5, kpt_sizes: [10], accuracySVM: 84.69656992084433, C: 0.01, accuracyKNN: 78.3641160949868
denseSift: True, num_features: 400, k: 500, num_neighbors: 5, knn_metric: manhattan, step: 10, pyramidDepth: 0, validation_split_num: 2, normalization: True, norm: power, alpha: 0.5, kpt_sizes: [10], accuracySVM: 88.12664907651715, C: 0.01, accuracyKNN: 79.94722955145119
denseSift: True, num_features: 400, k: 500, num_neighbors: 5, knn_metric: manhattan, step: 10, pyramidDepth: 0, validation_split_num: 3, normalization: True, norm: power, alpha: 0.5, kpt_sizes: [10], accuracySVM: 85.90425531914893, C: 0.01, accuracyKNN: 81.11702127659575
denseSift: True, num_features: 400, k: 500, num_neighbors: 5, knn_metric: manhattan, step: 10, pyramidDepth: 0, validation_split_num: 4, normalization: True, norm: power, alpha: 0.5, kpt_sizes: [10], accuracySVM: 88.26666666666667, C: 0.01, accuracyKNN: 81.06666666666666
denseSift: True, num_features: 400, k: 500, num_neighbors: 5, knn_metric: manhattan, step: 10, pyramidDepth: 0, validation_split_num: 5, normalization: True, norm: power, alpha: 0.5, kpt_sizes: [10], accuracySVM: 86.29032258064517, C: 0.01, accuracyKNN: 76.88172043010752

denseSift: True, num_features: 400, k: 600, num_neighbors: 5, knn_metric: manhattan, step: 10, pyramidDepth: 0, validation_split_num: 1, normalization: True, norm: power, alpha: 0.5, kpt_sizes: [10], accuracySVM: 86.80738786279683, C: 0.01, accuracyKNN: 81.26649076517151
denseSift: True, num_features: 400, k: 600, num_neighbors: 5, knn_metric: manhattan, step: 10, pyramidDepth: 0, validation_split_num: 2, normalization: True, norm: power, alpha: 0.5, kpt_sizes: [10], accuracySVM: 86.80738786279683, C: 0.01, accuracyKNN: 80.21108179419525
denseSift: True, num_features: 400, k: 600, num_neighbors: 5, knn_metric: manhattan, step: 10, pyramidDepth: 0, validation_split_num: 3, normalization: True, norm: power, alpha: 0.5, kpt_sizes: [10], accuracySVM: 85.63829787234043, C: 0.01, accuracyKNN: 80.31914893617021
denseSift: True, num_features: 400, k: 600, num_neighbors: 5, knn_metric: manhattan, step: 10, pyramidDepth: 0, validation_split_num: 4, normalization: True, norm: power, alpha: 0.5, kpt_sizes: [10], accuracySVM: 88.26666666666667, C: 0.01, accuracyKNN: 80.80000000000001
denseSift: True, num_features: 400, k: 600, num_neighbors: 5, knn_metric: manhattan, step: 10, pyramidDepth: 0, validation_split_num: 5, normalization: True, norm: power, alpha: 0.5, kpt_sizes: [10], accuracySVM: 84.67741935483872, C: 0.01, accuracyKNN: 78.76344086021506

denseSift: True, num_features: 400, k: 700, num_neighbors: 5, knn_metric: manhattan, step: 10, pyramidDepth: 0, validation_split_num: 1, normalization: True, norm: power, alpha: 0.5, kpt_sizes: [10], accuracySVM: 85.22427440633246, C: 0.01, accuracyKNN: 85.22427440633246
denseSift: True, num_features: 400, k: 700, num_neighbors: 5, knn_metric: manhattan, step: 10, pyramidDepth: 0, validation_split_num: 2, normalization: True, norm: power, alpha: 0.5, kpt_sizes: [10], accuracySVM: 87.33509234828496, C: 0.01, accuracyKNN: 83.37730870712402
denseSift: True, num_features: 400, k: 700, num_neighbors: 5, knn_metric: manhattan, step: 10, pyramidDepth: 0, validation_split_num: 3, normalization: True, norm: power, alpha: 0.5, kpt_sizes: [10], accuracySVM: 86.43617021276596, C: 0.01, accuracyKNN: 80.85106382978722
denseSift: True, num_features: 400, k: 700, num_neighbors: 5, knn_metric: manhattan, step: 10, pyramidDepth: 0, validation_split_num: 4, normalization: True, norm: power, alpha: 0.5, kpt_sizes: [10], accuracySVM: 86.93333333333332, C: 0.01, accuracyKNN: 82.66666666666667
denseSift: True, num_features: 400, k: 700, num_neighbors: 5, knn_metric: manhattan, step: 10, pyramidDepth: 0, validation_split_num: 5, normalization: True, norm: power, alpha: 0.5, kpt_sizes: [10], accuracySVM: 85.75268817204301, C: 0.01, accuracyKNN: 77.15053763440861

denseSift: True, num_features: 400, k: 800, num_neighbors: 5, knn_metric: manhattan, step: 10, pyramidDepth: 0, validation_split_num: 1, normalization: True, norm: power, alpha: 0.5, kpt_sizes: [10], accuracySVM: 87.59894459102902, C: 0.01, accuracyKNN: 82.58575197889182
denseSift: True, num_features: 400, k: 800, num_neighbors: 5, knn_metric: manhattan, step: 10, pyramidDepth: 0, validation_split_num: 2, normalization: True, norm: power, alpha: 0.5, kpt_sizes: [10], accuracySVM: 86.80738786279683, C: 0.01, accuracyKNN: 80.47493403693932
denseSift: True, num_features: 400, k: 800, num_neighbors: 5, knn_metric: manhattan, step: 10, pyramidDepth: 0, validation_split_num: 3, normalization: True, norm: power, alpha: 0.5, kpt_sizes: [10], accuracySVM: 85.90425531914893, C: 0.01, accuracyKNN: 83.24468085106383
denseSift: True, num_features: 400, k: 800, num_neighbors: 5, knn_metric: manhattan, step: 10, pyramidDepth: 0, validation_split_num: 4, normalization: True, norm: power, alpha: 0.5, kpt_sizes: [10], accuracySVM: 86.93333333333332, C: 0.01, accuracyKNN: 84.53333333333333
denseSift: True, num_features: 400, k: 800, num_neighbors: 5, knn_metric: manhattan, step: 10, pyramidDepth: 0, validation_split_num: 5, normalization: True, norm: power, alpha: 0.5, kpt_sizes: [10], accuracySVM: 87.36559139784946, C: 0.01, accuracyKNN: 79.83870967741935

denseSift: True, num_features: 400, k: 900, num_neighbors: 5, knn_metric: manhattan, step: 10, pyramidDepth: 0, validation_split_num: 1, normalization: True, norm: power, alpha: 0.5, kpt_sizes: [10], accuracySVM: 84.96042216358839, C: 0.01, accuracyKNN: 83.64116094986808
denseSift: True, num_features: 400, k: 900, num_neighbors: 5, knn_metric: manhattan, step: 10, pyramidDepth: 0, validation_split_num: 2, normalization: True, norm: power, alpha: 0.5, kpt_sizes: [10], accuracySVM: 88.12664907651715, C: 0.01, accuracyKNN: 82.58575197889182
denseSift: True, num_features: 400, k: 900, num_neighbors: 5, knn_metric: manhattan, step: 10, pyramidDepth: 0, validation_split_num: 3, normalization: True, norm: power, alpha: 0.5, kpt_sizes: [10], accuracySVM: 84.57446808510637, C: 0.01, accuracyKNN: 83.51063829787235
